#,Date,HW,Time
1,18.10.2021,1,2 часа 01 минута
2,21.10.2021,1,2 часа 37 минут
3,26.10.2021,1,2 часа 25 минут
4,28.10.2021,1,3 часа 14 минут
5,02.11.2021,1,2 часа 25 минут
6,04.11.2021,0,2 часа 47 минут
7,09.11.2021,1,3 часа 04 минуты
8,11.11.2021,0,2 часа 21 минута
9,13.11.2021,0,2 часа 13 минут
10,16.11.2021,0,2 часа 27 минут
11,18.11.2021,1,2 часа 34 минуты
12,23.11.2021,1,2 часа 13 минут
13,25.11.2021,1,2 часа 22 минуты
14,28.11.2021,0,2 часа 19 минут
15,30.11.2021,1,2 часа 30 минут
16,02.12.2021,0,2 часа 08 минут
17,09.12.2021,0,2 часа 42минуты
